,R2_mean,R2_var,MSE_mean,MSE_var
27,0.49122217408837604,0.0009043475222716273,1.3221454856404655,0.005768737326927692
26,0.5142977222122055,0.001986750654238645,1.3105750702677395,0.012470462257626928
25,0.4705721817733071,0.0067104851220206995,1.3343407382905432,0.025818690487543837
24,0.47075258846752155,0.003202593639431407,1.3645225399938812,0.018927207638442387
23,0.43794146184234606,0.006073036668010461,1.4273770491009354,0.02807908946731829
22,0.4514588301511694,0.004782308013300108,1.3876059564969598,0.0228168502244908
21,0.45712355969337654,0.009455586984422119,1.417439015744439,0.12789848471255566
20,0.4593976438052832,0.011126942704249604,1.3446922084837678,0.07052654548900848
19,0.48495990914452475,0.03021114743015206,1.1934451122889436,0.06262300042553018
18,0.3636442132124201,0.006980722880540031,1.4855270022607476,0.07704118109685075
17,0.413949545721513,0.02178829997641764,1.3915014545510649,0.18204562744768965
16,0.5376715729936106,0.024312323588067994,1.227731041581096,0.16155708900669075
15,0.357051402885853,0.05807840373891174,1.5723528786005443,0.2647835961026353
14,0.3824812710656422,0.02266795915787851,1.7660432653286722,0.21037352618987235
13,0.41550825305051264,0.039862451141533285,1.6410083995242073,0.44167368591351036
12,0.33668806934765083,0.06870618949446322,1.6917215476577625,0.568218488705971
11,0.2991658341194636,0.08790598124320348,1.76747813854923,0.4092418885849683
10,0.3449881323717188,0.07175192552378738,1.8170524452561825,0.3595533960013238
9,0.2939751248295711,0.08635434017404219,2.1313142510335936,0.7138890507427968
8,0.16288899583251024,0.03473885085218217,1.9064879430822939,0.49355699247512214
7,0.12162242430834154,0.022288558405520405,2.720952291371148,1.0284639098438262
6,0.18314393688596634,0.06142207990804306,2.6877972509110144,1.8151405342900102
5,0.09952289623105437,0.0314242669583463,1.778772438893553,1.3876072030198736
